1 학년 1반의 전체 평균 점수 : 38.083333333333336
1 학년 2반의 전체 평균 점수 : 44.383333333333326
1 학년 3반의 전체 평균 점수 : 39.36666666666667
1 학년 4반의 전체 평균 점수 : 39.25
1 학년 5반의 전체 평균 점수 : 35.983333333333334
2 학년 1반의 전체 평균 점수 : 37.6
2 학년 2반의 전체 평균 점수 : 33.833333333333336
2 학년 3반의 전체 평균 점수 : 46.583333333333336
2 학년 4반의 전체 평균 점수 : 42.5
2 학년 5반의 전체 평균 점수 : 27.633333333333336
3 학년 1반의 전체 평균 점수 : 42.26666666666667
3 학년 2반의 전체 평균 점수 : 35.6
3 학년 3반의 전체 평균 점수 : 33.75
3 학년 4반의 전체 평균 점수 : 36.21666666666666
3 학년 5반의 전체 평균 점수 : 42.166666666666664
